,Sample,Question,Question Type,Question Type,Correct Grammar,Suggestions
OHZ,It breaks down animal remains into a liquid water solution and bone mineral fragments.,0,,,1,
OIA,What was the worst day of your life?,1,What,,1,
OID,Why do cats turn away from food and run?,1,Why,,1,
OIJ,What are bones and bones collectively known?,1,What,,1,
OIP,"No, the use of a human toothpaste is not recommended mainly because of the high fluoride (not salt) content, which may lead to acute, but more likely chronic, toxicity problems as pets do not rinse and spit but rather swallow the toothpaste.",0,,,0,"No, the use of human toothpaste is not recommended mainly because of the high fluoride (not salt) content, which may lead to acute, but more likely chronic, toxicity problems as pets do not rinse and spit but rather swallow the toothpaste."
OIQ,What are some alternatives to euthanasia?,1,What,,1,
OIV,"As dog and cat age, they may develop what other diseases that can result in diabetes or could significantly affect their response to treatment for what?",1,What,,0,"As dogs and cat age, they may develop other diseases that can result in diabetes or could significantly affect their response to treatment for what?"
OIX,What are some foods that help slow down glucose?,1,What,,1,
OJD,What is the same color for each pet?,1,What,,1,
OJH,Learn more about how to effectively brush a dogâ€™s teeth and catâ€™s teeth with Dr. Clayton Greenway.,0,,,1,
OJO,What does it feel like if I lose 5 to 10 pounds in 4 months?,1,What,,1,
OJW,What can be prevented by regular glucose monitoring?,1,What,,1,
OJX,How does Dr. Schmidt place your pet?,1,How,,1,
OKC,What is the same as a dog?,1,What,,1,
OKE,How many different diseases are there in cats?,1,How,,1,
OKG,What do we need to do to stop wildlife scavenging?,1,What,,1,
OKH,How long does the response of the body need to be monitored by glucose curves?,1,How,,1,
OKK,How long do I need to get good insulin regulation?,1,How,,1,
OKM,What causes the body to breakdown tissue?,1,What,,1,
OKQ,Can your pet be placed in a cardboard coffin?,1,YN,,1,
OKR,What causes a cat to run away from its food?,1,What,,1,
OKW,When and how do I ask a vet to close my animals?,1,When,How,1,
OKY,Will adult teeth always be visible if they don't appear?,1,YN,,1,
OLC,What problems can I avoid by constant glucose monitoring?,1,What,,1,
OLG,How would we know the name of the postcare option we have?,1,How,,1,
OLH,What is necessary to verify with any pet insurer?,1,What,,1,
OLI,What is an ultrasonic scaler that vibrates 1000 times per second and creates an incredibly high pitched whine that will terrify any cat?,1,What,,1,
OLJ,What are some old dogs in need of cleaning?,1,What,,1,
OLK,Which formulas work best for weight loss in cats?,1,Which,,1,
OLL,What do other aftercare providers attach to a pet's body and the human body as a result?,1,What,,1,
OLO,"The different colors, pink and blue, are the same drug but from different companies.",0,,,1,
OLP,What is the hazard of euthanized pets that died of a contagious disease?,1,What,,1,
OLV,What are pet insurance companies?,1,What,,1,
OLW,What is the cause of this disease?,1,What,,1,
OLY,What can be based on the signs of a pet being shown?,1,What,,1,
OMA,What can be challenging to follow a daily fitness regimen with cats?,1,What,,1,
OMH,Can your pet leave before cremation?,1,YN,,1,
OMK,How long does it take for some dogs to be controlled in India?,1,How,,1,
OMO,"When plaque and tartar are established in the mouth, it is very difficult to remove what?",1,What,,1,
OMP,"Is a scaler ultrasonic, vibrating 1000 times a second and creating an incredibly high pitched whine that will terrify any cat?",1,YN,,1,
OMR,The top tooth which is second to the left of the large canine tooth has what type of overgrowth?,1,What,,1,
OMT,What is the cost of using body bags?,1,What,,1,
OMZ,What type of questions do there and why?,1,What,Why,1,
OND,What are the tests that can be used to manage the disease?,1,What,,1,
ONM,"Although research groups are investigating alternatives like islet cell transplant or slow-release insulin pellets under the skin, these are not yet available, even at the clinical trial stage.",0,,,1,
ONP,When is it time to pet any type of cleaning?,1,When,,1,
ONQ,What is becoming a more common practice?,1,What,,1,
ONR,How can cats be hypoglycemic?,1,How,,1,
ONU,What is allowed for your pet to accompany you for the cremation?,1,What,,1,
OOF,What should I do to reduce pain in my lower back?,1,What,,1,
OOI,A professional pet teeth cleaning takes place in a veterinary practice.,0,,,1,
OOJ,What is a separate aftercare provider and how can they define their service?,1,What,,1,
OOO,Management of your diabetic pet may include some or all of the following:,0,,,1,
OOP,How many types of questions are there on Quora?,1,How,,1,
OOQ,What types of infection are common?,1,What,,0,What types of infections are common?
OOU,What are the risks associated with the long term use of corticosteroids?,1,What,,1,
OOV,"However, every aftercare provider has its own rules and it should be noted that the burning of such items can cause discoloration to the cremains.",0,,,1,
OOW,"Retained baby teeth in dogs have lots of reactions around that area because so much stuff is getting trapped in there and if you address this problem later, itâ€™s so much more expensive because youâ€™re doing a full anesthetic just to remove those teeth.",0,,,1,
OPA,What are potential clients for euthanasia?,1,What,,1,
OPB,What can some veterinary practices make on behalf of their clients?,1,What,,1,
OPC,What is the same as anesthetic used during surgery?,1,What,,0,What is the same as an anesthetic used during surgery?
OPF,How do I remove plaque bacteria from the teeth?,1,How,,1,
OQA,What can dogs give you IV dextrose?,1,What,,1,
OQE,Can some veterinary practices make on behalf of their clients?,1,YN,,1,
OQG,What is the most likely scenario under which senior animals close to the end of their lives will qualify for what?,1,What,,1,
OQH,How do I reduce ash in body?,1,How,,0,How do I reduce ash in the body?
OQL,Insulin is required for the transfer of glucose from the bloodstream to the cells.,0,,,1,
OQQ,What is the only reversible form of dental disease?,1,What,,1,
OQW,What types of oral problems are often overlooked?,1,What,,1,
ORA,Where can I find the list of effective products?,1,Where,,1,
ORB,What will the ashes of those privately cremated be returned after the following Saturday?,1,What,,1,
ORC,Which is better for toothpaste: enzymatic or dry mouth?,1,Which,,1,
ORE,What is happened if you can't go to a vet?,1,What,,0,What happens if you can't go to a vet?
ORF,"As your pet ages, what should you talk with your vet?",1,What,,0,"As your pet ages, what should you talk about with your vet?"
ORK,What is the best afterlife care or provider?,1,What,,1,
ORR,How can we do what is best for our furry friends?,1,How,,1,
ORU,How are ashes returned to the families?,1,How,,1,
ORV,"This is a good question to ask your veterinarian, should you decide to work through him or her.",0,,,1,
ORX,How many feet of soil should the body be covered with in the first 10 days of life?,1,How,,0,How many feet of soil should the body be covered within the first 10 days of life?
ORZ,What is a chemical process?,1,What,,1,
OSB,What is inflammation of your gums?,1,What,,1,
OSD,What do some clients don't like the idea of having their pet in a bag?,1,What,,0,Why do some clients don't like the idea of having their pet in a bag?
OSH,What does it mean when a dog has to have sugar to get rid of it?,1,What,,1,
OSL,"Iâ€™m always open to friendly to the idea of using a natural product but if youâ€™re actually putting in the work into brush the teeth, which is a pretty big challenge, I always encourage people to use a really good product.",0,,,0,"Iâ€™m always open to friendly to the idea of using a natural product but if youâ€™re actually putting in the work into brushing the teeth, which is a pretty big challenge, I always encourage people to use a really good product."
OSO,"When the pancreas is not producing enough insulin, what are some examples?",1,What,,1,
OST,What is euthanasia? Who could advocate for euthanasia?,1,What,Who,1,
OSV,Which kind of questions are there?,1,Which,,1,
OSW,Make sure you ask about what you get for each quote and what other charges may be recommended at the time of the procedure.,0,,,1,
OTH,What is a good thing about brushing your cat teeth before and after the brushing?,1,What,,0,What is a good thing about brushing your cat's teeth before and after brushing?
OTN,What should I put on myself to lose weight?,1,What,,1,
OTP,The American Veterinary Medical Association suggests some practical guidelines to help you put your furry friendâ€™s condition into perspective:,0,,,1,
OTR,What are some signs of coma?,1,What,,1,
OTT,A high-fiber diet is often recommended.,0,,,1,
OTX,"What should I do if my pet can not tolerate having my teeth brushed regularly, and has a strong habit of chewing them?",1,What,,1,
OTZ,Diabetes is diagnosed by measuring increased levels of glucose in the urine and blood.,0,,,1,
OUC,When will insulin tablets be available?,1,When,,1,
OUL,Which type of animal is cat?,1,Which,,0,Which type of animal is the cat?
OUQ,What is the best steps you should take while taking care of your pet?,1,What,,0,What are the best steps you should take while taking care of your pet?
OUR,Can a pet hide their pain and continue to eat?,1,YN,,0,Can a pet hide its pain and continue to eat?
OUT,What is the risk of hypoglycemia?,1,What,,1,
OUV,What diets reduce urine production?,1,What,,1,
OVB,How do I get the list of effective oral health products?,1,How,,1,
OVD,How do you see tartar on your teeth?,1,How,,1,
OVE,How often depends on your pet but a good rule of thumb is yearly.,1,How,,1,
OVF,What is the best way to make sure your pet's teeth are cleaned properly?,1,What,,1,
OVG,What are risk factors for hypoglycemia?,1,What,,0,What are the risk factors for hypoglycemia?
OVK,How thick is the needle?,1,How,,1,
OVT,What is an inflammation of the oral tissues that can cause a cat to turn away from its food and run?,1,What,,1,
OVW,How old is the kitten's baby teeth supposed to fall out?,1,How,,1,
OWC,What do deciduous teeth or stem teeth mean?,1,What,,1,
OWL,What are the uses of palliative care and hospice?,1,What,,1,
OWS,What are some of the creative options?,1,What,,1,
OWZ,Why do Vets generally close your pets? What is the best way to ask your vet for this?,1,Why,What,1,
OXA,What is a pet that is not attached to a bed when they are young?,1,What,,1,
OXB,Which are top vet Loss Counselors in Iowa?,1,Which,,0,Which are the top vet Loss Counselors in Iowa?
OXE,What is the best way to check a dog's insulin levels?,1,What,,1,
OXF,How are decidenuous teeth removed?,1,How,,0,How are deciduous teeth removed?
OXG,What are the safety facts of using apple cider vinegar?,1,What,,1,
OXH,What kind of pet is diabetic?,1,What,,1,
OXL,What is the name of a aftercare provider?,1,What,,0,What is the name of an aftercare provider?
OXO,How can you transfer glucose from bloodstream to cells?,1,How,,0,How can you transfer glucose from the bloodstream to cells?
OXQ,What is an inability of the body to regulate blood sugar often caused by an abnormality of the pancreas?,1,What,,1,
OXR,What pet product does your dog use to hide their pain?,1,What,,1,
OYL,"Besides brushing, what are some other ways to prevent dental disease in dogs and cats?",1,What,,1,
OYT,What are the most important dental checks for your dog?,1,What,,1,
OYU,What is an animal? What are their different types?,1,What,,1,
OYX,Which website has a list of ingredients you can assess to determine if it is right for your pet?,1,Which,,1,
OYY,What causes unexplainable appetite?,1,What,,1,
OYZ,"While our dog and cat family members have their own unique personalities, dental disease in pets is similar to that in humans.",0,,,1,
OZD,Why can't the body regulate blood sugar like the pancreas?,1,Why,,1,
OZG,Why does Apple cider vinegar stink?,1,Why,,1,
OZL,What is the case of baby teeth?,1,What,,1,
OZS,What is it that cats get called?,1,What,,1,
OZX,"As dogs and cats age, they may develop what other diseases that can result in diabetes or could significantly affect their response to treatment for what?",1,What,,0,"As dogs and cats age, they may develop other diseases that can result in diabetes or could significantly affect their response to treatment for what?"
OZZ,How many times is feline dental disease classified as a worst?,1,How,,0,How many times is a feline dental disease classified as the worst?
PAC,What is the best anesthesia protocol?,1,What,,1,
PAG,"After all, the prime goal is to relieve suffering during your furry loved oneâ€™s final days.",0,,,1,
PAI,Can urine tests really prove diabetes?,1,YN,,1,
PAL,What is giving orally?,1,What,,1,
PAM,What is non-foam formulas about?,1,What,,0,What are non-foam formulas about?
PAO,What is the 2nd most common endocrine disease in cats?,1,What,,1,
PAR,"As an individual, how would hospice care bring the best quality of life to people who are at a crisis stage?",1,How,,0,"As an individual, how would hospice care bring the best quality of life to people who are in a crisis stage?"
PAT,"Testing costs money but simple pre-surgical blood work, urine and even the ECG test is pretty affordable and is incredibly valuable.",0,,,0,"Testing costs money but simple pre-surgical blood work, urine, and even the ECG test are pretty affordable and incredibly valuable."
PAX,How can an animalâ€™s eyes stay open?,1,How,,1,
PAZ,Why are deciduous teeth called to allow for the eruption of the adult teeth that come in just after them?,1,Why,,1,
PBB,How many pets are put in a cremation chamber?,1,How,,1,
PBC,"He said post-euthanasia options include burial at home; burial in a pet cemetery; communal cremation, in which the pet is cremated with other pets and the family doesn't get the ashes; and private cremation in which the pet is cremated individually.",0,,,1,
PBL,How bad is it that cats and dogs are more prone to aggression?,1,How,,1,
PBQ,How do regular dental cleanings slow the progress of dental disease?,1,How,,0,How do regular dental cleanings slow the progress of the dental disease?
PBU,Which type of testing is invasive?,1,Which,,1,
PBX,"Another choice: The unique option of having their pet stuffed, although to my knowledge none of our clients have done this, Dr. Schmidt said.",0,,,1,
PBY,"Since it does not happen slowly over time, the body doesnâ€™t have time to make its protective dentin layer to seal the sensitive pulp tissue.",0,,,1,
PBZ,What type of toothpaste for cats is recommended?,1,What,,1,
PCB,Is it difficult to say goodbye to a pet?,1,YN,,1,
PCC,What are good questions to ask your veterinarian when working through him or her?,1,What,,1,
PCN,What type of bag does Dr. Schmidt offer to take a pet?,1,What,,1,
PCR,What will cat become if they get too much insulin?,1,What,,0,What will cats become if they get too much insulin?
PCS,What might cause plaque build up and what may be the cause?,1,What,,1,
PCW,What fee is required in a cremation?,1,What,,0,What fee is required for a cremation?
PCY,"If the gingivitis is left unchecked, periodontitis can develop which affects the support structures of the tooth â€“ the gums and the bone socket that hold the tooth root and the bacteria present in gum disease can cause irreversible injury to these structures.",0,,,1,
PDB,What's the name of my pet?,1,What,,1,
PDE,What do some clinics used to let the animal to depart with dignity?,1,What,,0,What do some clinics use to let the animal depart with dignity?
PDG,"Addressing it during the spay and neuter will be a lot cheaper than going forward and ending up having problems with those permanent, adult teeth coming in and being malpositioned and causing more reaction at the gum caused by the debris that gets caught between them.",0,,,1,
PDH,Why is water used for dental health?,1,Why,,1,
PDJ,What kinds of questions do you answer?,1,What,,1,
PDK,What can be done directly by the pet owner?,1,What,,1,
PDS,What is the best way to spend time with your dog?,1,What,,1,
PDU,What's the average age of diabetic cat?,1,What,,0,What's the average age of a diabetic cat?
PDX,What is a significant risk factor for development of diabetes?,1,What,,0,What is a significant risk factor for the development of diabetes?
PDY,"This means that the very small, insignificant risk of complications with anesthesia in cats is far less than letting a dental infection progress.",0,,,1,
PDZ,What type of tooth most commonly retained (to be extracted) by a dog?,1,What,,0,What type of tooth is most commonly retained (to be extracted) by a dog?
PEA,How can coconut oil affect your dogs?,1,How,,1,
PEB,How do I get a pet to the vet?,1,How,,1,
PEE,What type of tests can be used to manage this disease?,1,What,,1,
PEH,What types of care provide for a dog?,1,What,,0,What types of care are provided for a dog?
PEJ,What should owners consider spaying female dogs diagnosed with?,1,What,,1,
PEW,The next thing to do is to schedule a professional dental cleaning.,0,,,1,
PEZ,What is a good space for plaque bacterial to anchor themselves?,1,What,,0,What is a good space for plaque bacteria to anchor themselves?
PFB,What irritates you if you urinate excessively?,1,What,,1,
PFH,What are the basic questions asked or asked?,1,What,,1,
PFK,What are the causes for weight loss?,1,What,,0,What are the causes of weight loss?
PFQ,What type of questions do you frequently ask?,1,What,,1,
PFU,What does coconut oil have been known to be toxic to pets?,1,What,,0,Why does coconut oil have been known to be toxic to pets?
PFZ,How can cats become addicted to too much insulin?,1,How,,1,
PGH,What do diabetic pets need before you administer insulin?,1,What,,1,
PGI,What is the first sign of a potential oral cancer?,1,What,,1,
PGM,What are some good rule of thumb for you pet?,1,What,,0,What are some good rules of thumb for your pet?
PGP,How do you start brushing your cat?,1,How,,1,
PGQ,What does enzymatic toothpaste do?,1,What,,1,
PGS,When can animals be cremated?,1,When,,1,
PGU,"For most animals, it simply feels like theyâ€™re drifting off to sleep.",0,,,1,
PGV,There are also instances where veterinarians have their own aftercare provider on-site.,0,,,1,
PGZ,Can coconut oil be harmful for humans?,1,YN,,0,Can coconut oil be harmful to humans?
PHA,How can I clean my pets teeth?,1,How,,0,How can I clean my pets' teeth?
PHD,How are babies teeth affected?,1,How,,0,How are babies' teeth affected?
PHF,What is the name of a person whose not eligible to get a vet?,1,What,,1,
PHG,How often should dogs be lost?,1,How,,1,
PHI,Can someone pick up my pet from my apartment?,1,YN,,1,
PHM,What causes an animal to lose consciousness within a few minutes?,1,What,,1,
PHQ,Why is it not recommended to take fluoride/bisaminade but for your weight? What is recommended?,1,Why,What,1,
PHU,How does insulin help convert glucose in the bloodstream?,1,How,,1,
PHY,What is a diagnosis?,1,What,,1,
PID,What are the good rules for pets?,1,What,,1,
PIG,What are your symptoms and why are they your symptoms?,1,What,Why,1,
PIO,What kinds of questions do you want answered?,1,What,,0,What kinds of questions do you want to be answered?
PIP,Where do I find an aftercare provider with direct client services?,1,Where,,1,
PIR,"If the problem persists, I would recommend that you go to your veterinarian for a physical exam.",0,,,1,
PIS,Veterinarians conduct the euthanasia process with care and empathy.,0,,,1,
PIU,Higher doses trigger unconsciousness plus a loss of heart and lung function within a few minutes.,0,,,1,
PIW,How do a protruding tooth sustain an irreversible damage?,1,How,,0,How does a protruding tooth sustain irreversible damage?
PIY,What is a good exercise and why?,1,What,Why,1,
PIZ,When do you need to sign Consent form?,1,When,,0,When do you need to sign a consent form?
PJD,There are many products that are designed to clean your petâ€™s teeth through chewing.,0,,,1,
PJI,There are many ways to memorialize a pet these days.,0,,,1,
PJM,Why do some people feel pain more than some more pleasure?,1,Why,,1,
PJR,What is the name of Dr. Clayton Greenway who can help you brush a dogâ€™s teeth and catâ€™s teeth?,1,What,,1,
PJT,What's the answer to you?,1,What,,1,
PJW,What is my pet's behavior?,1,What,,1,
PJX,"What are the nutrients in your intestines? When food is absorbed in your system, what are some of the nutrients?",1,What,,1,
PJY,Do dog breeds have more tooth decay?,1,YN,,1,
PKA,"What type of diabetes requires regular examinations, blood and urine tests, and monitoring your petâ€™s weight, appetite, drinking and urination?",1,What,,1,
PKB,Can my pet still enjoy things that they once loved?,1,YN,,1,
PKC,"If you see any signs of diabetes, your dog should be examined by what?",1,What,,1,
PKF,How can I have a view at the event?,1,How,,1,
PKJ,What do we really try to send to the clients?,1,What,,1,
PKR,What can we get by urine culture?,1,What,,1,
PKS,Is it true that animals can't open their eyes?,1,YN,,1,
PKZ,What would be the best procedure for removing baby teeth while they are under general anesthesia for their spay or neuter procedure?,1,What,,1,
PLE,What is the best kind of question asked?,1,What,,1,
PLG,What kind of pet does a pet still love?,1,What,,1,
PLK,"Blood glucose curves are most commonly used for this including: in-clinic blood glucose curves, home glucose curves with hand-held glucometers and continuous glucose monitoring systems.",0,,,1,
PLQ,How do I extract baby teeth while undergoing a general anesthesia?,1,How,,1,
PLS,"However, diabetic dogs are usually 4-14 years of age and most are diagnosed at roughly 7-10 years of age.",0,,,1,
PLW,Which dog do you love? Why?,1,Which,Why,1,
PLY,What friendship do we form with our pets?,1,What,,0,What kind of friendship do we form with our pets?
PMB,"If a pet has gum disease, how can you tell if they're immune or strong enough?",1,How,,1,
PMH,"If you donâ€™t do it and teeth remain, it is very costly to do another anesthetic with tooth extractions because typically standard rates apply instead of the low-cost spay/neuter rate and therefore, it is much more expensive.",0,,,1,
PMN,Do water additives for dog and cat teeth work?,1,YN,,1,
PMO,What do some clients don't like about their pet being sat in a box?,1,What,,1,
PMP,How old are the baby teeth in cats?,1,How,,1,
PNC,What is an ultrasonic scaler that vibrates 1700 times a second and creates an incredibly high pitched whine that will terrify any cat?,1,What,,1,
PNG,What type of dental issues are often overlooked?,1,What,,0,What types of dental issues are often overlooked?
PNI,"Do dogs with severely worn teeth have a history of chewing hard, rough or hard items?",1,YN,,1,
PNM,What are their worst days over good ones?,1,What,,1,
PNP,Why I will not use coconut oil? Why shouldn't I and shouldn't I use it as an alternative?,1,Why,,1,
PNQ,"If the pulp cavity is exposed, the teeth will either need to be removed (extracted) or have endodontic therapy and sealing done in order to preserve the tooth.",0,,,1,
PNS,"If you wanted a pet to have a name, what was it?",1,What,,1,
PNT,What are some ways to keep your pet healthy?,1,What,,1,
PNW,What should be part of a hospice or palliative care plan?,1,What,,1,
PNZ,What do dogs eat if they suddenly erupt in their mouths?,1,What,,1,
POA,How can you prevent discoloration in cremains?,1,How,,1,
POH,"We score feline dental disease on a range of 1-4, 4 being the worst.",0,,,1,
POI,"Most of the time, but not always, a sedative is given as the second injection.",0,,,1,
POJ,What are some kinds of questions?,1,What,,1,
POO,What is an example of overactivity of the adrenal gland in dogs?,1,What,,1,
POS,"Diabetes may be suspected based on the signs a pet is showing, but the diagnosis is confirmed by your veterinarian by finding consistent hyperglycemia and glucosuria.",0,,,1,
PPG,When is euthanasia normally planned?,1,When,,1,
PPJ,Why is it that any animal loses consciousness in a few minutes?,1,Why,,1,
PPL,The lower back molar is almost 100% covered in tartar.,0,,,1,
PPM,What should the teeth start to appear in dogs and cats at four months of age?,1,What,,1,
PPR,This may reduce some of the pain your cat is experiencing.,0,,,1,
PPT,What are the causes of blood sugar inability of the body's function?,1,What,,0,What are the causes of the blood sugar inability of the body's function?
PPU,What does wear usually occur slowly with the enamel wearing away?,1,What,,1,
PPX,"In toy breeds, the smaller the mouth size, the closer the spacing or crowding of the teeth coupled with a higher frequency of being fed a soft diet or table food can cause more substantial plaque buildup.",0,,,1,
PPY,What does a non-foaming formula encourage?,1,What,,1,
PPZ,What causes a cat to turn away from food and run?,1,What,,1,
PQA,How long does bristle be soft?,1,How,,1,
PQE,These little guys like to keep you on your toes!,0,,,1,
PQH,Which hospital can a pet parent go to?,1,Which,,1,
PQI,"If you see any sign of diabetes, your pet should be examined?",0,,,0,"If you see any sign of diabetes, your pet should be examined."
PQR,"For best results, inject insulin within one hour after feeding to prevent blood sugar spikes.",0,,,1,
PRH,"When the liquid is safely released as wastewater, what are the mineral fragments put?",1,What,,1,
PRL,How many are dogs more prone to accidents?,1,How,,1,
PRO,What type of tests can be used to manage the disease?,1,What,,1,
PRQ,The second is to have an anti-microbial affect to reduce the bacterial load in the mouth and prevent dental disease.,0,,,0,The second is to have an anti-microbial effect to reduce the bacterial load in the mouth and prevent dental disease.
PRS,What does the arrangement between a veterinarian and the aftercare providers depend on?,1,What,,1,
PRU,What can be done when more common causes are ruled out?,1,What,,1,
PRV,How's grieving your furry friend perfectly natural?,1,How,,1,
PRY,What is the probability of diabetes changing with a glucose test?,1,What,,1,
PRZ,What are the examples of palliative care and hospice used in different ways?,1,What,,1,
PSC,What kind of pets are still loved by dog owners?,1,What,,1,
PSF,How can water improve breath?,1,How,,1,
PSI,What types of paperwork will your veterinarian need to complete?,1,What,,1,
PSM,What does it feel like to consume too much insulin?,1,What,,1,
PSO,"For these reasons, veterinarians recommend that they be removed.",0,,,1,
PSR,"How can people get dental disease in pets, compared to humans?",1,How,,1,
PSS,How can you make a tough decision about your dog's welfare?,1,How,,1,
PSU,Puppies are well known for ripping toys apart and ingesting things and I encourage you to take a look at our article that goes over tips for puppy proofing a home as it will help you get some more ideas on this topic.,0,,,1,
PSV,Which types of questions do you have?,1,Which,,1,
PSX,Is there any danger to cremains in boiling water?,1,YN,,1,
PSY,What is a good place for plaque bacteria to anchor themselves and continue to multiply?,1,What,,1,
PTA,"If there are special circumstances, what may a veterinary dentist recommend you visit?",1,What,,1,
PTB,What is such a dental problem in pets that they become hypersensitive to the teeth?,1,What,,1,
PTD,Can you give me an insulin pump? Why aren't cats and dogs using it?,1,YN,Why,1,
PTE,What is a problem that can lead to significant pain and infection?,1,What,,1,
PTI,Do you give a human toothpaste to a cats?,1,YN,,0,Do you give a human toothpaste to a cat?
PTJ,Look for any dental VOHC approved products and it will be reliable.,0,,,0,Look for any dental VOHC-approved products and they will be reliable.
PTK,What hospice is most focused on dying and making it as painless as possible?,1,What,,1,
PTL,Why are people having bad days more than good days?,1,Why,,1,
PTN,Who has dedicated their lives to helping pet parents to say goodbye to their beloved companions?,1,Who,,1,
PTO,What's the downside of a presurgical test?,1,What,,1,
PTP,What is the name of aftercare provider that provides personalized services?,1,What,,0,What is the name of the aftercare provider that provides personalized services?
PTR,What are some interesting questions to ask?,1,What,,1,
PTS,Who are Certified Pet Loss Counselors? How are they trained to help?,1,Who,How,1,
PTT,What is one of the worst days in our lives?,1,What,,1,
PTV,How old is a diabetic dogs?,1,How,,0,How old is a diabetic dog?
PTZ,How often do you do an extended dental procedure on a domestic dog?,1,How,,1,
PUD,What are deciduous teeth called to allow for eruption of adult teeth that come to them just after them?,1,What,,0,What are deciduous teeth called to allow for the eruption of adult teeth that come to them just after them?
PUF,How much function do toothpastes for pets have?,1,How,,0,How many functions do toothpaste for pets have?
PUG,Why can't we stop using coconut oil for other things?,1,Why,,1,
PUH,How do I treat a sick pet?,1,How,,1,
PUK,What are the indications for diabetes in using urine?,1,What,,1,
PUO,How do I manage Hypoglycemia in my dog?,1,How,,1,
PUP,Signs can range from lethargy to seizures and coma.,0,,,1,
PUS,"If cats receive too much insulin, they can become hypoglycemic resulting in weakness, coma or even death.",0,,,1,
PUT,What are private cremations?,1,What,,1,
PUU,How do I monitor my dog's diabetes?,1,How,,1,
PUW,"What will happen is that when the adult teeth start to come in and the baby teeth or deciduous teeth are retained, youâ€™ll have kind of a double tooth there and it will put pressure on the adult tooth coming in and cause it to be placed improperly.",0,,,1,
PUZ,How do you sort out the types of questions that you need answered by someone?,1,How,,1,
PVB,What type of bag does Dr. Schmidt offer to place your pet in?,1,What,,1,
PVD,Can you prevent diabetes with regular glucose monitoring?,1,YN,,1,
PVE,Is dog the same as a horse?,1,YN,,0,Is a dog the same as a horse?
PVG,How did your cat leave before you had cremation?,1,How,,1,
PVO,What is the option to die after Euthanasia?,1,What,,1,
PVP,How do I keep my dog's blood sugar free?,1,How,,1,
PVU,Is there an abnormality in the pancreas? Why?,1,YN,Why,1,
PVY,What are some suggestions for using a cat toothbrush?,1,What,,1,
PWA,What type of questions do we get?,1,What,,1,
PWB,What kinds of questions do you ask to be asked?,1,What,,1,
PWD,What do providers deal with at aftercare?,1,What,,1,
PWE,What kind of diet should one stick to?,1,What,,1,
PWI,What is hospice typically around in a home setting?,1,What,,1,
PWM,What affects your animal's health? How can you improve it?,1,What,How,1,
PWP,Diabetic dogs and cats can live long and healthy lives with proper management and veterinary care.,0,,,1,
PWQ,Who put my dog under anesthesia?,1,Who,,1,
PWR,"If a condition is present, it is time for your pet to have cleaning what kind of cleaning?",1,What,,1,
PWS,What type of bag do most veterinarian clinics and aftercare providers use for transport and cremate pets?,1,What,,0,What type of bag do most veterinarian clinics and aftercare providers use for transporting and cremating pets?
PWV,"What's anemia, infection, and urinalysis?",1,What,,0,"What are anemia, infection, and urinalysis?"
PWZ,What does the dog do when it explodes?,1,What,,1,
PXB,Where do plaque bacteria try to anchor themselves?,1,Where,,1,
PXD,What is a poison that can cause multi-organ damage?,1,What,,1,
PXI,"What is anemia, infection, and urinalysis? How does it affect anemia in different ways?",1,What,How,0,"What are anemia, infection, and urinalysis? How does it affect anemia in different ways?"
PXJ,You can always visit another veterinarian for a second opinion and other options to address the problem.,0,,,1,
PXO,"What kind of questions do you have to ask, on Quora?",1,What,,1,
PXS,How do you introduce an accelerated form of natural decomposition that uses sterile water solution?,1,How,,0,How do you introduce an accelerated form of natural decomposition that uses a sterile water solution?
PXV,How is the Pre-Surgical test going to be and what are some of the downside tests?,1,How,What,1,
PXZ,What is causes of decreased appetite?,1,What,,0,What are the causes of a decreased appetite?
PYD,Which store are the most popular sympathy card sellers?,1,Which,,0,Which stores are the most popular sympathy card sellers?
PYE,Why is coconut oil not good for pets?,1,Why,,1,
PYF,What are dogs more prone to?,1,What,,1,
PYH,"After your companion has passed away, you can spend a few moments alone with them.",0,,,1,
PYJ,What are the consequence of enough insulin?,1,What,,0,What are the consequences of enough insulin?
PYK,How many dogs have type 1 diabetes?,1,How,,1,
PYL,What kind of bag do Dr. Schmidt give my pet?,1,What,,0,What kind of bag Dr. Schmidt gave my pet?
PYM,What can be challenging for a cat to exercise?,1,What,,1,
PYN,"While hospice can occur in any setting, it primarily involves in-home care.",1,YN,,1,
PYP,What is a drug that can take action in hours?,1,What,,1,
PYQ,What is the best way to get quotes from any supplier for procedures?,1,What,,1,
PYU,What does it mean when your gums are inflamed?,1,What,,1,
PYX,What is a sedative used for pets?,1,What,,1,
PYY,When can pets be placed in cardboard coffins?,1,When,,1,
PZE,What is the worst thing that could happen to a child who can't get to a vet?,1,What,,1,
PZF,Gingivitis presents as a thin red line of inflammation where the gums meet the tooth.,0,,,1,
PZG,What causes infection of the gums and loss of the bone that holds their teeth in place?,1,What,,1,
PZH,What are signs of redness of gums?,1,What,,0,What are the signs of redness of gums?
PZN,What are some pharmaceuticals that are quick to take action?,1,What,,1,
PZQ,What is the name of a aftercare provider that provides personalized service?,1,What,,0,What is the name of an aftercare provider that provides personalized service?
PZR,What types of blood tests can be used to cure a disease?,1,What,,1,
PZT,What are some common examples of blood clotting disorder?,1,What,,0,What are some common examples of blood clotting disorders?
